SNP	eGene	CHR	POS	SNP_PHENOTYPE	END	First_Level	PHENOTYPE	Metabolism	Locus	Locus name	Entrez Gene Name	Location	Type(s)	Most associated metabolite or ratio	Biochemical locus-metabolite relationship [PMID]	Predicted causal gene	eQTL (gene and tissue)	Complex trait association [PMID]	Metabolite association [PMID]	Inborn error metabolism	Gene/protein classification (DT=drug target, ME=metabolic enzyme, TP=transporter)	ChEMBL ID	Drug information	In development PharmaProjects (preclinical, Phase I to III, pre-registration, registration)	Failed PharmaProjects (Suspended, withdrawn, no development)	split_eQTLs	causal_eGene	split	Overlap
rs1394678	THUMPD1	16	20744986	indolepropionate	20753406	Unknown		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	ACSM1	16	20634559	indolepropionate	20710212	Metabolism	Carbohydrate metabolism	True	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	AC004381.6	16	20817999	indolepropionate	20860987	Unknown		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	TMEM159	16	21169698	indolepropionate	21191937	Unknown		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	PDILT	16	20370492	indolepropionate	20416059	Unknown		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	PALB2	16	23614488	indolepropionate	23652631	Genetic Information Processing		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1394678	EEF2K	16	22217603	indolepropionate	22298554	Environmental Information Processing, Organismal Systems		False	118	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Cytoplasm	enzyme	indolepropionate	indolepropionate is derived from tryptophan metabolism	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1395	AC074117	2	27579360	pantothenate	27590489	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	ATRAID	2	27435155	pantothenate	27440046	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	NRBP1	2	27650657	pantothenate	27665126	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	KRTCAP3	2	27665233	pantothenate	27669348	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	SLC5A6	2	27422455	pantothenate	27435733	Organismal Systems		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	True
rs1395	SNX17	2	27593389	pantothenate	27599995	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	TRIM54	2	27505260	pantothenate	27530267	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	CAD	2	27440258	pantothenate	27466811	Metabolism	Amino acid metabolism	True	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	ANXA4	2	69871557	pantothenate	70053596	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	PAK2	3	196466728	pantothenate	196559518	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1395	VPS54	2	64119280	pantothenate	64246206	Unknown		False	14	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Plasma Membrane	transporter	pantothenate	SLC5A6 is a pantothenate transporter [9516450]	SLC5A6	SLC5A6-FAT,SLC5A6-LCL,AGBL5-Skin,EIF2B4-Skin,GTF3C2-Skin,KHK-FAT,PREB-FAT	NA	Alanine [23823483]	NA	TP	NA	No specific drug is associated with this transporter	NA	NA	SLC5A6 FAT SLC5A6 LCL AGBL5 Skin EIF2B4 Skin GTF3C2 Skin KHK FAT PREB FAT	True	SLC5A6	False
rs1466788	STRIP1	1	110574199	Carnitine	110597263	Unknown		False	8	ALX3	ALX homeobox 3	Nucleus	transcription regulator	Carnitine	Carnitine is a quaternary ammonium compound required for the transport of fatty acids from the cytosol into the mitochondria during the breakdown of lipids (fats) for the generation of metabolic energy	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1466788	CCBL2	1	89401456	Carnitine	89454038	Unknown		False	8	ALX3	ALX homeobox 3	Nucleus	transcription regulator	Carnitine	Carnitine is a quaternary ammonium compound required for the transport of fatty acids from the cytosol into the mitochondria during the breakdown of lipids (fats) for the generation of metabolic energy	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1472631	LACTB	15	63413999	succinylcarnitine	63434260	Unknown		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	RPS27L	15	63418071	succinylcarnitine	63450220	Genetic Information Processing		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	TPM1	15	63334831	succinylcarnitine	63364114	Organismal Systems, Human Diseases		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	RP11-321	15	63682335	succinylcarnitine	63729347	Unknown		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	APH1B	15	63568217	succinylcarnitine	63601325	Environmental Information Processing		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	RAB8B	15	63481668	succinylcarnitine	63559981	Cellular Processes		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	CEP152	15	49005125	succinylcarnitine	49102791	Unknown		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1472631	KIAA0101	15	64657193	succinylcarnitine	64679886	Unknown		False	110	LACTB	lactamase, beta	Cytoplasm	other	succinylcarnitine	Succinylcarnitine is presumably related to succinyl-CoA, a Krebs cycle intermediate.  LACTB encodes a beta-lactamase-like protein which has been detected as part of the mitochondrial large ribosomal subunit [11551941].	unknown	NA	NA	succinylcarnitine [21886157]	NA	NA	CHEMBL3791	Compounds and one approved drug (Tazobactam) with activity in ChEMBL	NA	NA	NA	False	unknown	False
rs1498694	PAH	12	103230663	phenylalanine	103344646	Metabolism	Metabolism of cofactors and vitamins	True	97	PAH	glutaminase 2 (liver, mitochondrial)	Cytoplasm	enzyme	phenylalanine	PAH encodes the enzyme phenylalanine hydroxylase which is the rate-limiting step in phenylalanine catabolism [4150152]	PAH	NA	NA	NA	Phenylketonuria (PKU)	DT	CHEMBL3076	Sapropterin	NA	2	NA	False	PAH	True
rs1498694	TDG	12	104359582	phenylalanine	104382652	Genetic Information Processing		False	97	PAH	glutaminase 2 (liver, mitochondrial)	Cytoplasm	enzyme	phenylalanine	PAH encodes the enzyme phenylalanine hydroxylase which is the rate-limiting step in phenylalanine catabolism [4150152]	PAH	NA	NA	NA	Phenylketonuria (PKU)	DT	CHEMBL3076	Sapropterin	NA	2	NA	False	PAH	False
rs1498694	RP11-611	12	70297813	phenylalanine	70636673	Unknown		False	97	PAH	glutaminase 2 (liver, mitochondrial)	Cytoplasm	enzyme	phenylalanine	PAH encodes the enzyme phenylalanine hydroxylase which is the rate-limiting step in phenylalanine catabolism [4150152]	PAH	NA	NA	NA	Phenylketonuria (PKU)	DT	CHEMBL3076	Sapropterin	NA	2	NA	False	PAH	False
rs1509123	FBXO39	17	6679542	citrate	6700420	Unknown		False	127	SLC13A5	solute carrier family 13 (sodium-dependent citrate transporter), member 5	Plasma Membrane	transporter	citrate	SLC13A5 encodes NaCT, a sodium-coupled citrate transporter [16973915]	SLC13A5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	SLC13A5	False
rs1509123	TEKT1	17	6692452	citrate	6735080	Unknown		False	127	SLC13A5	solute carrier family 13 (sodium-dependent citrate transporter), member 5	Plasma Membrane	transporter	citrate	SLC13A5 encodes NaCT, a sodium-coupled citrate transporter [16973915]	SLC13A5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	SLC13A5	False
rs15676	C9orf114	9	131581930	indolelactate	131592100	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	ENDOG	9	131580753	indolelactate	131581464	Cellular Processes		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	TBC1D13	9	131549483	indolelactate	131572711	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	PHYHD1	9	131683174	indolelactate	131704320	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	PKN3	9	131464802	indolelactate	131483147	Environmental Information Processing, Human Diseases		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	LRRC8A	9	131644391	indolelactate	131680318	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	CCBL1	9	131595221	indolelactate	131644773	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	True
rs15676	AMPD3	11	10329860	indolelactate	10529126	Metabolism	Nucleotide metabolism	True	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	PARVB	22	44395091	indolelactate	44568829	Cellular Processes		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs15676	SEC16A	9	139334549	indolelactate	139372141	Unknown		False	72	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	Cytoplasm	enzyme	indolelactate	CCBL1 encodes a kyneurenine aminotransferase which can convert tryptophan to indolepyruvate [15606768].  Indolepyruvate is then converted to indolelactate.	CCBL1	ENDOG-FAT,ENDOG-LCL,ENDOG-Skin,PKN3-LCL,ZER1-Skin	NA	NA	NA	NA	CHEMBL3962	Compounds with activity in ChEMBL	NA	NA	ENDOG FAT ENDOG LCL ENDOG Skin PKN3 LCL ZER1 Skin	False	CCBL1	False
rs16876394	BHMT2	5	78365540	betaine	78385289	Metabolism	Amino acid metabolism	True	42	BHMT	betaine--homocysteine S-methyltransferase	Cytoplasm	enzyme	betaine	BHMT encodes a betaine-homocysteine methyltransferase which converts betaine to dimethylglycine [6746658].  The homologous enzyme encoded by the nearby BHMT2 gene cannot use betaine [18230605].	BHMT	BHMT-FAT,BHMT2-FAT	NA	Metabolite levels [23378610]	NA	NA	CHEMBL4328	Compounds with inhibitory activity in ChEMBL	NA	NA	BHMT FAT BHMT2 FAT	True	BHMT	True
rs16876394	BHMT	5	78407602	betaine	78428108	Metabolism	Amino acid metabolism	True	42	BHMT	betaine--homocysteine S-methyltransferase	Cytoplasm	enzyme	betaine	BHMT encodes a betaine-homocysteine methyltransferase which converts betaine to dimethylglycine [6746658].  The homologous enzyme encoded by the nearby BHMT2 gene cannot use betaine [18230605].	BHMT	BHMT-FAT,BHMT2-FAT	NA	Metabolite levels [23378610]	NA	NA	CHEMBL4328	Compounds with inhibitory activity in ChEMBL	NA	NA	BHMT FAT BHMT2 FAT	True	BHMT	True
rs1697421	NBPF3	1	21766621	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	21811498	Unknown		False	1	ALPL	alkaline phosphatase, liver/bone/kidney	Plasma Membrane	phosphatase	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	"ALPL encodes a phosphatase, which could possibly have a bearing on the phosphorylation state of fibrinogen.  The alpha chain of fibrinogen is known to be phosphorylated at Ser22 [16807684]. Ratio interpretation: indicates likely substrate/product pair ('activity').  ALPL plausibly affects phosphorylation state of fibrinogen
"	ALPL	ALPL-Skin	Phosphorus levels [20558539]	ADpSGEGDFXAEGGGVR*/DSGEGDFXAEGGGVR* [21886157] (r2=0.665 with rs10799701)	NA	NA	CHEMBL5979	Approved drugs with activity in ChEMBL	1	NA	ALPL Skin	True	ALPL	False
rs1697421	ALPL	1	21835858	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	21904905	Metabolism	Metabolism of cofactors and vitamins	True	1	ALPL	alkaline phosphatase, liver/bone/kidney	Plasma Membrane	phosphatase	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	"ALPL encodes a phosphatase, which could possibly have a bearing on the phosphorylation state of fibrinogen.  The alpha chain of fibrinogen is known to be phosphorylated at Ser22 [16807684]. Ratio interpretation: indicates likely substrate/product pair ('activity').  ALPL plausibly affects phosphorylation state of fibrinogen
"	ALPL	ALPL-Skin	Phosphorus levels [20558539]	ADpSGEGDFXAEGGGVR*/DSGEGDFXAEGGGVR* [21886157] (r2=0.665 with rs10799701)	NA	NA	CHEMBL5979	Approved drugs with activity in ChEMBL	1	NA	ALPL Skin	True	ALPL	True
rs1697421	NAV1	1	201598532	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	201796102	Unknown		False	1	ALPL	alkaline phosphatase, liver/bone/kidney	Plasma Membrane	phosphatase	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	"ALPL encodes a phosphatase, which could possibly have a bearing on the phosphorylation state of fibrinogen.  The alpha chain of fibrinogen is known to be phosphorylated at Ser22 [16807684]. Ratio interpretation: indicates likely substrate/product pair ('activity').  ALPL plausibly affects phosphorylation state of fibrinogen
"	ALPL	ALPL-Skin	Phosphorus levels [20558539]	ADpSGEGDFXAEGGGVR*/DSGEGDFXAEGGGVR* [21886157] (r2=0.665 with rs10799701)	NA	NA	CHEMBL5979	Approved drugs with activity in ChEMBL	1	NA	ALPL Skin	True	ALPL	False
rs170149	NFIX	19	13106422	citrate	13209610	Unknown		False	126	SLC13A5	solute carrier family 13 (sodium-dependent citrate transporter), member 5	Plasma Membrane	transporter	citrate	SLC13A5 encodes NaCT, a sodium-coupled citrate transporter [16973915]	SLC13A5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	SLC13A5	False
rs17134585	AKR1C3	10	5077546	androsterone sulfate/ epiandrosterone sulfate	5149878	Metabolism, Organismal Systems	Metabolism of cofactors and vitamins	True	76	AKR1C3|AKR1C4	aldo-keto reductase family 1, member C3/aldo-keto reductase family 1, member C4	Cytoplasm	enzyme	androsterone sulfate/ epiandrosterone sulfate	AKR1C4 encodes a 3 alpha-hydroxysteroid dehydrogenase (HSD) isoform which is expressed in liver and acts on androsterone.   The nearby gene AKR1C3 is expressed in prostate and mammary gland and the associated enzyme does not act on androsterone.  [15026176]. Ratio interpretation: both molecules are related to potential substrates ('selectivity').	AKR1C4	AKR1C3-Skin	NA	androsterone sulfate/epiandrosterone sulfate [21886157]	NA	ME	CHEMBL4681/CHEMBL4999	Substrates of AKR1Cs: carbonyl-containing xenobiotics as the tobacco-specific nitrosamine NNK: acetohexamide, daunorubicin, naloxone, naltrexone, befunolol, ethacrynic acid, ketoprofen, ketotifen, haloperidol, loxoprofen, metyrapone, oxonortyptyline, and numerous aromatic and aliphatic aldehydes (PMID: 15013815); Compounds and approved drugs with activity in ChEMBL	1	NA	AKR1C3 Skin	False	AKR1C4	False
