Gene	Protein class	Subcellular location	RNA tissue category	RNA TS	RNA TS TPM	RNA cell line category	RNA CS	RNA CS TPM
SCO2	Disease related genes, Predicted membrane proteins	Mitochondria	Expressed in all			Expressed in all		
SSBP4	Predicted intracellular proteins		Expressed in all			Expressed in all		
PGPEP1	Enzymes, Predicted intracellular proteins	Golgi apparatus	Expressed in all			Cell line enhanced		HMC-1: 51.6
ZNF317	Predicted intracellular proteins, Transcription factors	Nucleoplasm	Expressed in all			Expressed in all		
F12	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins		Tissue enriched	78	liver: 141.6	Cell line enhanced		HDLM-2: 6.4;MCF7: 6.7;PC-3: 5.8;SH-SY5Y: 4.5
IDO1	Cancer-related genes, Enzymes, Predicted intracellular proteins		Tissue enhanced		placenta: 149.4	Cell line enriched	7	EFO-21: 54.8
PDLIM4	Predicted intracellular proteins	Actin filaments, Cytosol	Mixed			Cell line enhanced		hTEC/SVTERT24-B: 117.7
KIF3A	Predicted intracellular proteins	Nucleoplasm, Intermediate filaments, Cytosol	Tissue enhanced		cerebral cortex: 82.8	Expressed in all		
RFX1	Predicted intracellular proteins, Transcription factors	Nucleoplasm	Expressed in all			Expressed in all		
RTBDN	Predicted membrane proteins, Predicted secreted proteins	Endoplasmic reticulum	Group enriched	6	adrenal gland: 4.6;cerebral cortex: 14.6;testis: 3.5	Cell line enhanced		SCLC-21H: 9.8;SH-SY5Y: 5.8;U-266/84: 16.0
SLC52A1	Disease related genes, Predicted membrane proteins		Group enriched	10	duodenum: 36.1;placenta: 26.1;skin: 13.2;small intestine: 26.3	Cell line enhanced		A549: 2.1;BEWO: 1.9;HMC-1: 4.1;SK-BR-3: 2.0
PRMT7	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Nucleoli fibrillar center	Expressed in all			Expressed in all		
MMACHC	Disease related genes, Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Mixed			Expressed in all		
BHMT2	Cancer-related genes, Enzymes, Predicted intracellular proteins		Group enriched	6	kidney: 362.7;liver: 238.5	Cell line enhanced		Hep G2: 53.5;hTEC/SVTERT24-B: 46.4;U-87 MG: 18.9
ANGPTL3	Disease related genes, Plasma proteins, Predicted secreted proteins		Tissue enriched	6	liver: 356.4	Not detected		
AMPD3	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nuclear membrane	Tissue enhanced		parathyroid gland: 54.4	Cell line enhanced		BJ hTERT+: 35.8
NUMB	Cancer-related genes, Predicted intracellular proteins	Cell Junctions, Cytosol	Expressed in all			Expressed in all		
LDHA	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Vesicles, Cytosol	Expressed in all			Expressed in all		
NAV1	Predicted intracellular proteins	Microtubules	Mixed			Cell line enhanced		TIME: 153.0
FADS2	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins		Expressed in all			Expressed in all		
TMEM258	Predicted membrane proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
FBXO21	Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
NT5E	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Nucleoplasm, Plasma membrane, Cytosol	Tissue enhanced		cervix, uterine: 172.7	Cell line enhanced		LHCN-M2: 772.3;U-87 MG: 800.0
DOCK10	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Cytosol	Mixed			Cell line enhanced		HDLM-2: 50.8
DCAF7	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
SAP130	Predicted intracellular proteins	Nuclear speckles	Expressed in all			Expressed in all		
LRRC8A	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters		Expressed in all			Expressed in all		
TOR1A	Disease related genes, Predicted secreted proteins	Nuclear membrane, Vesicles	Expressed in all			Expressed in all		
FPGS	Enzymes, Predicted intracellular proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
GMPR	Enzymes, Plasma proteins, Predicted intracellular proteins		Expressed in all			Cell line enhanced		HEL: 171.8;HMC-1: 275.3
ADAM10	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Vesicles, Plasma membrane	Expressed in all			Expressed in all		
PNPT1	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
SLC5A6	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Cell Junctions	Expressed in all			Expressed in all		
ATRAID	Predicted intracellular proteins, Predicted membrane proteins		Expressed in all			Expressed in all		
TRIM54	Predicted intracellular proteins		Tissue enhanced		heart muscle: 63.9;skeletal muscle: 181.1	Group enriched	13	HAP1: 7.4;NTERA-2: 15.3
CYP2C9	Enzymes, Predicted secreted proteins		Tissue enriched	7	liver: 963.1	Not detected		
CYP2C8	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Tissue enriched	154	liver: 1124.1	Not detected		
ENTPD1	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Microtubules	Mixed			Group enriched	7	HDLM-2: 179.7;Karpas-707: 112.9
DNAJC13	Predicted membrane proteins	Vesicles, Cytosol	Expressed in all			Expressed in all		
APH1B	Predicted membrane proteins		Tissue enhanced		testis: 153.4	Mixed		
HERC6	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Cytosol	Expressed in all			Group enriched	5	BJ hTERT+ SV40 Large T+: 108.0;BJ hTERT+ SV40 Large T+ RasG12V: 83.5
FGD4	Disease related genes, Predicted intracellular proteins	Actin filaments	Expressed in all			Mixed		
TDG	Enzymes, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
SLC27A2	Enzymes, Predicted membrane proteins, Transporters		Group enriched	5	epididymis: 80.1;kidney: 162.3;liver: 145.5	Cell line enhanced		HaCaT: 78.4;HL-60: 52.3;SCLC-21H: 47.4
BAHD1	Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
DISP2	Predicted membrane proteins	Nucleoplasm, Vesicles	Tissue enhanced		cerebral cortex: 7.4	Group enriched	5	HaCaT: 5.9;SCLC-21H: 15.8
SCAPER	Predicted intracellular proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
TPM1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Actin filaments, Cytosol	Expressed in all			Expressed in all		
NKD1	Predicted intracellular proteins	Nucleoli fibrillar center	Mixed			Group enriched	6	AF22: 6.2;CACO-2: 11.1;Hep G2: 24.6
NLRC5	Predicted intracellular proteins	Centrosome	Mixed			Cell line enhanced		HEL: 84.3
SLC16A3	Predicted membrane proteins, Transporters	Nuclear membrane, Plasma membrane	Expressed in all			Mixed		
NTN5	Predicted intracellular proteins, Predicted secreted proteins		Mixed			Not detected		
RERE	Disease related genes, Predicted intracellular proteins, Transcription factors		Expressed in all			Expressed in all		
NBPF3	Predicted intracellular proteins		Tissue enriched	6	testis: 20.4	Cell line enhanced		BJ hTERT+: 12.6
MOB3C	Predicted intracellular proteins	Intermediate filaments, Cytosol	Expressed in all			Mixed		
CYP4B1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Vesicles	Tissue enhanced		lung: 382.2	Cell line enriched	9	RT4: 234.9
ZNF697	Predicted intracellular proteins, Transcription factors	Nucleoplasm	Mixed			Cell line enhanced		SK-MEL-30: 35.9;WM-115: 45.9
STRIP1	Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
VPS54	Predicted intracellular proteins	Nucleoplasm, Golgi apparatus	Expressed in all			Expressed in all		
TPRKB	Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
NAT8	Enzymes, Predicted membrane proteins	Endoplasmic reticulum	Tissue enriched	18	kidney: 891.8	Cell line enriched	12	Hep G2: 8.7
UBXN4	Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum	Expressed in all			Expressed in all		
KANSL1L	Predicted intracellular proteins, Predicted membrane proteins	Cytosol	Tissue enriched	13	parathyroid gland: 585.1	Expressed in all		
GADL1	Enzymes, Predicted intracellular proteins	Plasma membrane, Cytosol	Tissue enhanced		skeletal muscle: 9.0	Cell line enhanced		HAP1: 5.0
LIMD1	Plasma proteins, Predicted intracellular proteins	Nucleus, Focal adhesion sites	Expressed in all			Expressed in all		
LPP	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Focal adhesion sites, Cytosol	Expressed in all			Cell line enhanced		EFO-21: 109.0;U-698: 138.0
TM4SF19	Predicted intracellular proteins, Predicted membrane proteins, Transporters		Tissue enhanced		testis: 9.0	Cell line enhanced		hTEC/SVTERT24-B: 18.9;hTERT-HME1: 24.3;PC-3: 34.0;U-138 MG: 18.7;U-87 MG: 19.9
MUC4	Predicted membrane proteins		Tissue enhanced		colon: 1.0	Not detected		
SNCA	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters		Group enriched	5	bone marrow: 160.8;cerebral cortex: 459.2	Cell line enhanced		HEL: 198.4;HUVEC TERT2: 218.9;SK-MEL-30: 203.3;TIME: 246.6
CYP4V2	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Nuclear speckles	Tissue enhanced		parathyroid gland: 65.1	Cell line enhanced		SK-MEL-30: 19.3
BHMT	Enzymes, Plasma proteins, Predicted intracellular proteins	Cytosol	Group enriched	225	kidney: 788.8;liver: 563.6	Cell line enhanced		Hep G2: 2.4;NTERA-2: 1.4;SCLC-21H: 1.1
FAM217A	Predicted intracellular proteins		Tissue enriched	33	testis: 22.8	Not detected		
PNRC1	Predicted intracellular proteins	Nucleus, Nucleoli	Expressed in all			Expressed in all		
PM20D2	Enzymes, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Mixed		
GBAS	Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
CCT6A	Plasma proteins, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
TRIM4	Enzymes, Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Mixed		
ADHFE1	Enzymes, Predicted intracellular proteins	Vesicles	Mixed			Cell line enhanced		ASC diff: 1.1;RPTEC TERT1: 1.2
SH3GLB2	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
SEC16A	Predicted intracellular proteins, Predicted secreted proteins	Endoplasmic reticulum, Golgi apparatus	Expressed in all			Expressed in all		
RSU1	Plasma proteins, Predicted intracellular proteins	Vesicles	Expressed in all			Expressed in all		
FUOM	Enzymes, Predicted intracellular proteins		Tissue enhanced		liver: 74.9	Mixed		
PAOX	Enzymes, Predicted intracellular proteins	Nucleoplasm, Centrosome	Tissue enhanced		testis: 7.6	Cell line enhanced		A-431: 5.2;U-266/70: 12.5
PDCD11	Plasma proteins, Predicted intracellular proteins	Nucleoli, Vesicles	Expressed in all			Expressed in all		
CAPN5	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins		Mixed			Mixed		
FADS1	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins		Expressed in all			Expressed in all		
INCENP	Predicted intracellular proteins	Nucleus, Nuclear bodies, Midbody	Mixed			Expressed in all		
GPR158	G-protein coupled receptors, Predicted membrane proteins	Cytosol	Tissue enriched	17	cerebral cortex: 17.9	Cell line enhanced		HEL: 18.7;T-47d: 5.2
CACNA1C	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels		Tissue enhanced		smooth muscle: 30.9	Cell line enriched	17	HDLM-2: 188.9
TDO2	Enzymes, Predicted intracellular proteins	Plasma membrane, Cytosol	Tissue enriched	18	liver: 278.3	Group enriched	5	EFO-21: 7.3;HDLM-2: 14.7;U-87 MG: 8.6
CACUL1	Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
ASTN1	Plasma proteins, Predicted membrane proteins, Transporters	Golgi apparatus, Vesicles	Group enriched	6	adrenal gland: 19.6;cerebral cortex: 66.8	Cell line enhanced		Karpas-707: 4.1;NTERA-2: 4.4;SCLC-21H: 3.2;U-2 OS: 3.6;U-266/84: 14.7
TMEM163	Predicted membrane proteins, Transporters		Mixed			Cell line enhanced		HEL: 18.1;RPTEC TERT1: 50.5;SCLC-21H: 35.5
SLC30A6	Predicted membrane proteins, Transporters	Golgi apparatus	Expressed in all			Expressed in all		
GRM1	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Vesicles	Group enriched	5	cerebral cortex: 7.0;heart muscle: 1.7	Not detected		
DAB2	Plasma proteins, Predicted intracellular proteins	Nucleoli fibrillar center, Vesicles, Plasma membrane	Expressed in all			Cell line enhanced		fHDF/TERT166: 273.0;U-138 MG: 234.0
SYCP2L	Predicted intracellular proteins	Nucleoplasm	Tissue enriched	20	parathyroid gland: 122.5	Cell line enhanced		HL-60: 10.7;HMC-1: 35.1;K-562: 9.5;NB-4: 9.1
CD8A	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins		Tissue enhanced		spleen: 161.9	Cell line enriched	5	MOLT-4: 11.7
CMIP	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
ANKH	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Cytosol	Expressed in all			Mixed		
TNIK	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Cytosol	Mixed			Cell line enhanced		HEL: 58.9;HMC-1: 63.1;WM-115: 53.8
FAM69A	Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Cytosol	Mixed			Mixed		
SRSF12	Predicted intracellular proteins		Group enriched	6	cerebral cortex: 6.9;testis: 20.9	Cell line enhanced		AF22: 9.1;AN3-CA: 8.8;HAP1: 7.7;HEK 293: 7.0;REH: 6.9;SCLC-21H: 9.5;SH-SY5Y: 8.4
TDRD9	Enzymes, Predicted intracellular proteins		Group enriched	6	parathyroid gland: 39.7;testis: 75.0	Cell line enhanced		HDLM-2: 22.6;HeLa: 13.9;HMC-1: 82.8;RPTEC TERT1: 19.5
HK1	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Cell line enhanced		K-562: 491.8
NTAN1	Predicted intracellular proteins	Nucleoplasm, Golgi apparatus	Expressed in all			Expressed in all		
CPT2	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Nucleoli, Mitochondria	Expressed in all			Expressed in all		
SPPL3	Enzymes, Predicted membrane proteins	Vesicles, Plasma membrane	Expressed in all			Mixed		
C12orf43	Predicted intracellular proteins	Nucleoli, Golgi apparatus	Expressed in all			Expressed in all		
AGAP1	Plasma proteins, Predicted intracellular proteins		Expressed in all			Cell line enhanced		SCLC-21H: 93.8
KRTCAP3	Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Cytosol	Mixed			Cell line enhanced		A-431: 53.9;CAPAN-2: 60.3;SCLC-21H: 37.2
WDR66	Predicted intracellular proteins	Plasma membrane, Cytosol	Tissue enhanced		fallopian tube: 32.6;testis: 30.7	Cell line enhanced		HBEC3-KT: 22.5;hTCEpi: 21.0;hTERT-HME1: 15.0
XDH	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Nucleus	Tissue enhanced		breast: 48.3;duodenum: 45.6;liver: 35.9;small intestine: 54.6	Cell line enhanced		HBEC3-KT: 14.4;hTERT-HME1: 23.9
SLC5A11	Predicted membrane proteins	Nucleus, Cytosol	Group enriched	5	cerebral cortex: 10.5;duodenum: 6.6;kidney: 6.1;small intestine: 15.2	Cell line enhanced		BEWO: 1.7;Hep G2: 11.2;Karpas-707: 3.2
TOMM40L	Predicted intracellular proteins		Mixed			Expressed in all		
RAPGEF6	Predicted intracellular proteins	Centrosome, Cytosol	Mixed			Expressed in all		
THEM4	Enzymes, Predicted intracellular proteins		Expressed in all			Mixed		
TMEM69	Predicted membrane proteins	Nucleoplasm	Expressed in all			Expressed in all		
ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Vesicles	Tissue enhanced		duodenum: 178.9;small intestine: 291.6	Cell line enhanced		ASC TERT1: 44.4;HUVEC TERT2: 28.2
EFCAB14	Predicted membrane proteins	Nucleoli, Golgi apparatus, Cytosol	Expressed in all			Expressed in all		
PKNOX1	Predicted intracellular proteins, Transcription factors	Nucleoplasm	Mixed			Expressed in all		
CBS	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoli, Vesicles	Tissue enhanced		liver: 56.6;ovary: 31.1	Cell line enhanced		HAP1: 171.2;HHSteC: 181.6
PKN3	Enzymes, Predicted intracellular proteins	Vesicles	Mixed			Cell line enhanced		HeLa: 45.8
CYP3A7	Enzymes, Predicted membrane proteins	Cytosol	Tissue enriched	15	liver: 143.3	Cell line enhanced		Hep G2: 1.6;HHSteC: 1.0
CPSF4	Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
PCYT1A	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleus	Expressed in all			Expressed in all		
SYCE2	Predicted intracellular proteins	Nucleus	Tissue enriched	15	testis: 38.9	Cell line enhanced		EFO-21: 11.1;SiHa: 12.6
MEIOB	Predicted intracellular proteins	Nucleus, Nucleoli	Tissue enriched	61	testis: 71.4	Group enriched	5	HMC-1: 24.7;K-562: 85.3;THP-1: 55.0
C1orf123	Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
ALPL	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Cytosol	Tissue enhanced		lung: 78.8	Group enriched	8	HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8
USP1	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
SNED1	Predicted intracellular proteins, Predicted secreted proteins		Mixed			Cell line enhanced		ASC TERT1: 290.9;HSkMC: 154.1
S100A11	Plasma proteins, Predicted intracellular proteins		Expressed in all			Expressed in all		
PPM1K	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Mixed		
ZNF513	Disease related genes, Predicted intracellular proteins, Transcription factors		Expressed in all			Expressed in all		
RPL39L	Predicted intracellular proteins, Ribosomal proteins		Tissue enriched	15	testis: 220.3	Mixed		
TKT	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
PRKCD	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Endoplasmic reticulum, Golgi apparatus, Cytosol	Mixed			Expressed in all		
SLBP	Predicted intracellular proteins	Nucleus, Nucleoli, Cytosol	Expressed in all			Expressed in all		
ZDHHC19	Enzymes, Predicted membrane proteins		Tissue enriched	44	testis: 29.2	Not detected		
SLC51A	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters		Tissue enhanced		duodenum: 29.3;liver: 35.1;small intestine: 71.3	Cell line enhanced		REH: 3.4
RANBP3L	Predicted intracellular proteins	Nucleoplasm	Tissue enhanced		cerebral cortex: 31.0;kidney: 28.7;prostate: 23.0	Cell line enhanced		ASC diff: 8.5;HSkMC: 1.8;T-47d: 2.0
ACSL6	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins		Group enriched	6	bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4	Group enriched	6	SCLC-21H: 13.0;U-937: 5.2
OXR1	Predicted intracellular proteins	Vesicles	Expressed in all			Expressed in all		
SLC4A2	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Nuclear speckles, Plasma membrane, Cytosol	Expressed in all			Expressed in all		
SLC16A9	Predicted membrane proteins, Transporters	Nucleus, Cell Junctions	Tissue enhanced		adrenal gland: 198.5;kidney: 201.0	Cell line enhanced		HAP1: 11.1;NTERA-2: 20.0;U-937: 14.6
CYP2C19	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins		Tissue enhanced		duodenum: 48.3;liver: 125.6	Not detected		
LIPC	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins		Tissue enriched	14	liver: 86.4	Cell line enhanced		CACO-2: 6.9;EFO-21: 5.7;Hep G2: 16.4;HMC-1: 6.0;U-2197: 17.2
RAB8B	Predicted intracellular proteins	Nucleoplasm, Vesicles	Expressed in all			Expressed in all		
SGPL1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum	Expressed in all			Expressed in all		
ACSM1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		Tissue enriched	49	breast: 298.7	Group enriched	11	K-562: 3.2;NTERA-2: 15.6
PEX11A	Predicted intracellular proteins, Predicted membrane proteins, Transporters		Mixed			Cell line enhanced		SK-BR-3: 40.6
ANPEP	CD markers, Enzymes, Plasma proteins, Predicted membrane proteins	Plasma membrane	Group enriched	9	duodenum: 2386.4;small intestine: 2133.7	Cell line enhanced		BJ hTERT+: 958.3;HUVEC TERT2: 770.8;TIME: 760.6;U-2197: 926.0
CNPY4	Predicted intracellular proteins, Predicted secreted proteins	Vesicles	Mixed			Expressed in all		
DOLPP1	Enzymes, Predicted membrane proteins	Vesicles, Intermediate filaments	Expressed in all			Expressed in all		
ENDOG	Plasma proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
UGT1A6	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		Group enriched	6	kidney: 75.4;liver: 72.4;urinary bladder: 107.9	Cell line enhanced		CACO-2: 44.4;EFO-21: 75.2;HaCaT: 258.5;RT4: 119.0
TMC4	Predicted membrane proteins		Tissue enhanced		duodenum: 30.8	Cell line enriched	7	T-47d: 27.9
PRDX2	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins		Expressed in all			Mixed		
TEKT1	Predicted intracellular proteins		Group enriched	7	fallopian tube: 79.5;testis: 16.7	Not detected		
DDB1	Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
C8orf22	Predicted intracellular proteins		Tissue enriched	79	skeletal muscle: 362.1	Cell line enriched	13	HEL: 1.3
C8orf46	Predicted intracellular proteins	Nuclear speckles	Tissue enriched	14	cerebral cortex: 65.1	Cell line enhanced		LHCN-M2: 1.8;SK-MEL-30: 1.9;T-47d: 2.8;WM-115: 2.9
LMAN2	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
RAB24	Predicted intracellular proteins	Focal adhesion sites	Expressed in all			Expressed in all		
PRELID1	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Mitochondria	Expressed in all			Expressed in all		
GPRIN1	Predicted intracellular proteins	Vesicles, Plasma membrane	Tissue enriched	7	cerebral cortex: 27.8	Cell line enhanced		HDLM-2: 52.6;SCLC-21H: 70.4
PDILT	Predicted secreted proteins		Tissue enriched	5	testis: 31.2	Group enriched	6	HBEC3-KT: 9.1;hTCEpi: 7.4;hTERT-HME1: 2.4
LRRC45	Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Centrosome, Cytosol	Mixed			Mixed		
ASPSCR1	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Nucleoplasm, Vesicles, Plasma membrane	Expressed in all			Expressed in all		
FASN	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
DUS1L	Predicted intracellular proteins	Plasma membrane	Expressed in all			Expressed in all		
GPS1	Plasma proteins, Predicted intracellular proteins		Expressed in all			Expressed in all		
DCXR	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoli, Microtubules	Group enriched	6	epididymis: 297.5;kidney: 217.3;liver: 640.9;prostate: 137.5	Expressed in all		
RAC3	Predicted intracellular proteins, RAS pathway related proteins		Mixed			Expressed in all		
NRG4	Predicted membrane proteins		Tissue enhanced		fallopian tube: 1.0;testis: 1.3	Cell line enhanced		HeLa: 2.9;HL-60: 1.3;SiHa: 1.2;U-937: 2.1
PPID	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleus, Nucleoli, Cytosol	Expressed in all			Expressed in all		
ETFDH	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins		Expressed in all			Expressed in all		
PAH	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Endoplasmic reticulum, Vesicles	Tissue enhanced		kidney: 504.6;liver: 722.4	Cell line enriched	26	Hep G2: 161.3
BCL2	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm, Nuclear membrane	Tissue enhanced		thyroid gland: 69.3	Cell line enhanced		Karpas-707: 59.5;U-266/70: 217.8
CERS6	Predicted membrane proteins	Nucleus	Expressed in all			Mixed		
SPTLC3	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Microtubules	Mixed			Cell line enhanced		RPTEC TERT1: 33.2;U-87 MG: 56.0
SUCLG2	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Plasma membrane, Mitochondria	Expressed in all			Expressed in all		
C2orf54	Predicted intracellular proteins	Nucleoplasm, Golgi apparatus	Tissue enhanced		esophagus: 112.1;skin: 51.5	Group enriched	7	CACO-2: 49.6;HaCaT: 39.3;SK-BR-3: 116.4
AGXT	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Vesicles	Tissue enriched	58	liver: 611.6	Cell line enhanced		Hep G2: 5.6;SK-BR-3: 1.1
CES4A	Predicted intracellular proteins, Predicted secreted proteins	Cytosol	Group enriched	7	fallopian tube: 28.9;skin: 9.2	Cell line enhanced		HDLM-2: 17.6;SiHa: 4.2
NOC3L	Predicted intracellular proteins	Nucleus, Nucleoli	Expressed in all			Expressed in all		
TDRD12	Enzymes, Predicted intracellular proteins		Group enriched	8	epididymis: 10.9;testis: 33.5	Group enriched	34	HDLM-2: 23.6;NTERA-2: 93.5
KCNH6	Predicted membrane proteins, Voltage-gated ion channels		Tissue enhanced		kidney: 6.1;prostate: 5.4;small intestine: 5.5	Group enriched	6	SCLC-21H: 4.0;SH-SY5Y: 1.4
PTDSS2	Enzymes, Predicted membrane proteins		Expressed in all			Expressed in all		
PHYHD1	Predicted intracellular proteins	Nuclear speckles	Expressed in all			Cell line enhanced		ASC diff: 31.7;BEWO: 49.9;RPTEC TERT1: 59.0
LRRC25	Predicted membrane proteins		Tissue enhanced		appendix: 30.4;spleen: 40.6	Cell line enhanced		HMC-1: 1.6;THP-1: 1.2;U-937: 1.1
UNC119B	Predicted intracellular proteins		Expressed in all			Expressed in all		
CCDC57	Predicted intracellular proteins	Microtubules, Microtubule organizing center, Cytosol	Expressed in all			Mixed		
SPRYD4	Predicted intracellular proteins	Nucleoplasm	Mixed			Mixed		
MAP3K19	Enzymes, Predicted intracellular proteins	Cytosol	Group enriched	8	fallopian tube: 28.5;testis: 7.8	Not detected		
